Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Chaat Di Hatti,"Street Food, North Indian, Fast Food, Chinese, Waffle, Momos, Shake, Beverages",3.5,₹350 for two,9.2 km,"Rau, Indore",Indore
Oye Pappe,"North Indian, Fast Food, Pizza, Pasta, Street Food, Shake, Beverages",3.2,₹550 for two,4.9 km,"MR 10 Road, Indore",Indore
Pishori Restaurant,"North Indian, Mughlai, Kebab, Biryani, Chinese, Seafood",4,₹800 for two,3 km,"Sapna Sangeeta, Indore",Indore
Nanaksar Dhaba,"North Indian, Chinese, Beverages",3.8,₹400 for two,4.9 km,"Vijay Nagar, Indore",Indore
Hotel Rajhans,North Indian,4.1,₹400 for two,973 m,"Sarafa Bazaar, Indore",Indore
Raja Ram Dhaba Sweets & Namkeen,"North Indian, Chinese, Mithai",4.3,₹300 for two,7 km,"Vijay Nagar, Indore",Indore
Hotel Malwa Inn Tonicue the Bar Restaurant,"North Indian, Chinese, Mughlai, Kebab, Bar Food, Biryani, Fast Food, Beverages",4.5,"₹1,300 for two",7.5 km,"Rajendra Nagar, Indore",Indore
Nafees Restaurant,"North Indian, Mughlai, Chinese, Kebab, Seafood, Biryani, Desserts, Beverages",4.1,"₹1,000 for two",3.2 km,"Old Palasia, Indore",Indore
Paakasaala The Andhra Kitchen,"South Indian, Biryani, Andhra",3.9,₹350 for two,4.9 km,"Vijay Nagar, Indore",Indore
Annie Bakers,"Pizza, Sandwich, Burger, Coffee",3.6,₹200 for two,4 km,"Sudama Nagar, Indore",Indore
Maa Padmawati Restaurant by sri tirupati foods,North Indian,3.4,₹700 for two,6.6 km,"Vijay Nagar, Indore",Indore
Nandri South Indian Cafe,"South Indian, Desserts, Beverages",3.2,₹500 for two,5.4 km,"Vijay Nagar, Indore",Indore
The Chocolate Room,"Cafe, Coffee, Beverages, Italian, Chinese, Fast Food, Mexican, Desserts",3.1,"₹1,000 for two",5.7 km,"By Pass Road (South), Indore",Indore
Chef's Alcove,"Italian, Mexican, Continental, American, Asian, Thai, Desserts, Beverages",4.3,₹850 for two,12.9 km,"Rau, Indore",Indore
Delhi Darbar,North Indian,3.8,₹450 for two,4.1 km,"Old Palasia, Indore",Indore
Gyani Ji Ka Khalsa Dhaba,"North Indian, Chinese, Desserts, Beverages",3.8,₹800 for two,3.8 km,"Bhawar Kuan, Indore",Indore
SomePlace Else - The Park,"Bar Food, Continental, Asian, Beverages",4,"₹3,200 for two",7.9 km,"Vijay Nagar, Indore",Indore
The Allahabadi,"North Indian, Mughlai, Chinese, Kebab, Biryani, Seafood, Salad",3.9,"₹1,000 for two",5.7 km,"Vijay Nagar, Indore",Indore
Tiffin,"North Indian, Chinese, Continental, Mughlai, South Indian, Fast Food, Desserts, Beverages",3.6,"₹1,000 for two",2.1 km,"Hotel Winway, RNT Marg, Indore",Indore
Tandoor Bar & Restaurant,"North Indian, Mughlai, Chinese, Pizza, Fast Food, Desserts, Beverages",3.8,"₹1,200 for two",4.3 km,"Vijay Nagar, Indore",Indore
Kavelu,"North Indian, Oriental, Chinese, Biryani, Seafood, Beverages, Desserts",3.9,"₹1,000 for two",7.8 km,"Vijay Nagar, Indore",Indore
Gyani Ji Ka Khalsa Dhaba,"North Indian, Chinese, Sandwich, Burger, Pizza, Fast Food, Desserts, Beverages",3.5,"₹1,000 for two",2.3 km,"New Palasia, Indore",Indore
Zonatello,"Pizza, Pasta, Fast Food",4.4,₹650 for two,6.3 km,"By Pass Road (South), Indore",Indore
SardarG's BiryaniZ,"Biryani, North Indian",4.1,₹300 for two,7.6 km,"Vijay Nagar, Indore",Indore
The Blue Plate,"North Indian, Salad, Chinese, Oriental, Continental, Italian, Desserts, Beverages",4.2,"₹1,000 for two",7.5 km,"By Pass Road (South), Indore",Indore
Xero Degrees,"Cafe, Coffee, Beverages, Italian, Pizza, Sandwich, Fast Food, Desserts",-,"₹1,000 for two",4.2 km,"Press Complex, Indore",Indore
Havana Cafe Bar,"Continental, North Indian",-,"₹1,500 for two",4.9 km,"Press Complex, Indore",Indore
11:11 Coffee,"Cafe, Coffee, Fast Food, Desserts, Shake, Beverages",4.1,₹500 for two,1.8 km,"South Tukoganj, Indore",Indore
Mid Flight Garden Restaurant & Cafe,"North Indian, Kebab, Chinese, Salad, Desserts, Beverages",3.8,₹800 for two,4.4 km,"Airport Road, Indore",Indore
Shree Guru Kripa,"North Indian, Chinese, Street Food, Fast Food, Desserts",-,₹300 for two,2.1 km,"Sarwate Bus Stand, Indore",Indore
Diablo,"North Indian, Italian, Continental, Arabian, Biryani, Desserts, Beverages",4.1,"₹3,500 for two",3 km,"Old Palasia, Indore",Indore
Venky's Chicken Xperience,"Fast Food, Burger, North Indian",3.3,₹550 for two,5.5 km,"Vijay Nagar, Indore",Indore
Nature's Kitchen,"Chinese, Salad, North Indian, Continental, Fast Food, Desserts, Beverages",3.3,"₹1,000 for two",5 km,"Vijay Nagar, Indore",Indore
Cafe Kono,"Sandwich, Fast Food, Momos, Burger, Beverages, Sichuan",4.1,₹400 for two,3 km,"Sapna Sangeeta, Indore",Indore
The Social Platter,"Sandwich, Fast Food, Street Food, North Indian, Beverages",3.9,₹300 for two,3.9 km,"Press Complex, Indore",Indore
Citron The Lounge Bar -  Hotel Essentia,"Bar Food, North Indian",-,"₹2,200 for two",5.1 km,"By Pass Road (North), Indore",Indore
Zoca Cafe,"Cafe, Coffee, Chinese, Pasta, Fast Food, Momos, Shake, Beverages",3.9,₹700 for two,3.9 km,"Sudama Nagar, Indore",Indore
Binge On Burgers,"Burger, Sandwich, Fast Food, Beverages",4.2,₹600 for two,5.3 km,"Annapurna Road, Indore",Indore
De Brasserie Cafe & Bakery,"Cafe, Bakery",3.6,₹600 for two,6.6 km,"Vijay Nagar, Indore",Indore
Shree Gurukripa Hotel Sarwate,"North Indian, Chinese, Desserts, Beverages, Biryani",4.1,"₹1,100 for two",1.8 km,"Sarwate Bus Stand, Indore",Indore
OVENLY By Khurana's - Since 1991,"Bakery, Desserts, Sandwich, Pizza, Fast Food, Shake",3.3,₹400 for two,2.6 km,"New Palasia, Indore",Indore
Casa Boho,"Coffee, Fast Food",2.8,₹500 for two,6.5 km,"By Pass Road (South), Indore",Indore
