Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Merry Go Round,"North Indian, Chinese, Continental, Fast Food",3,"₹1,300 for two",4.5 km,"Hotel Pushp Villa, Tajganj, Agra",Agra
Cake Wala,Bakery,3.6,₹300 for two,2.7 km,"Agra Cantt, Agra",Agra
Temptation,"North Indian, Chinese, Fast Food",4.1,"₹1,000 for two",3.8 km,"Kamla Nagar, Agra",Agra
Om Restaurant,"North Indian, Beverages",3.6,₹400 for two,2.5 km,"Agra Cantt, Agra",Agra
Papa Ji Da Dhaba,North Indian,4.2,₹250 for two,2.7 km,"Civil Lines, Agra",Agra
Theobroma,"Bakery, Desserts",-,₹300 for two,3.2 km,"Khandari, Agra",Agra
Sarpanch,"North Indian, South Indian, Fast Food, Chinese, Coffee, Ice Cream",-,₹600 for two,2.8 km,"Civil Lines, Agra",Agra
Dasaprakash - A South Indian Cafe,South Indian,3.3,₹800 for two,2.7 km,"Tajganj, Agra",Agra
Golden China Restaurant,"Chinese, Rolls, North Indian, Mughlai, Biryani, Italian, Desserts, Beverages",3.7,"₹1,000 for two",3.5 km,"Tajganj, Agra",Agra
Brijwasi  Sweets & Restaurant,"Mithai, North Indian, South Indian, Fast Food, Shake",3.7,₹350 for two,2.4 km,"Civil Lines, Agra",Agra
Bhoji,"North Indian, Fast Food, Burger, Shake",3.7,₹350 for two,4 km,"Shahganj, Agra",Agra
The Forest,"North Indian, Italian, Chinese",4,₹800 for two,5.5 km,"Sikandra, Agra",Agra
Chatora Station Restaurant,"North Indian, Chinese, Fast Food, Mughlai",3.9,₹400 for two,5.6 km,"Gopal Pura, Agra",Agra
Udupi Brindavan Vegetarian Restaurant,"South Indian, North Indian, Chinese",-,₹900 for two,3.3 km,"Kamla Nagar, Agra",Agra
Australian Cafe Pizza,"Pizza, Burger, Fast Food",4.2,₹400 for two,3.9 km,"Shahganj, Agra",Agra
Chimmanlal Puri Wale,"North Indian, Street Food, Mithai",3.8,₹300 for two,417 m,"Mantola, Agra",Agra
Infini – The Sky Lounge - Taj Hotel & Convention Centre,"North Indian, Fast Food, Finger Food, Beverages",4,"₹2,800 for two",4.3 km,"Taj Hotel & Convention Centre, Tajganj, Agra",Agra
Bhagat Halwai,"Mithai, North Indian, Street Food, Fast Food, Beverages",4,₹400 for two,4 km,"Shahganj, Agra",Agra
Deepee,"South Indian, Continental, Ice Cream, Beverages, Fast Food",3.7,₹800 for two,1.7 km,"Rakabganj, Agra",Agra
Wonder Terrace Bar & Kitchen,"North Indian, Continental, Finger Food, Beverages, BBQ",4,"₹3,500 for two",4.2 km,"Radisson Hotel Agra, Tajganj, Agra",Agra
The Chapter Kitchen,"North Indian, Continental, Oriental, Pizza, Beverages",4,"₹1,200 for two",4 km,"Khandari, Agra",Agra
