Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Bread N Mime Cafe,"Cafe, Fast Food, Burger, North Indian, Street Food, Beverages, Desserts",3.9,300.0,4.4,"Tajganj, Agra",Agra
Shree Ram Poori Wale,"North Indian, Street Food",3.8,50.0,5.2,"Sikandra, Agra",Agra
Joney's Place,"Biryani, Fast Food, North Indian, Chinese, Beverages",2.6,225.0,2.4,"Tajganj, Agra",Agra
MKOP,"Bakery, Desserts, Street Food, Rolls, Beverages",4.3,150.0,2.7,"Civil Lines, Agra",Agra
Hippo's Krates Cafe,"Chinese, Momos, Beverages, Fast Food",4.0,300.0,3.7,"Tajganj, Agra",Agra
Ram Babu Parathe Wale,"North Indian, South Indian, Chinese, Fast Food, Desserts",3.3,200.0,8.7,"Sikandra, Agra",Agra
Agarwal Chat Bhandhar,"Street Food, South Indian",4.1,75.0,4.2,"Agra Cantt, Agra",Agra
Bethakk,"Fast Food, Beverages",4.1,125.0,1.3,"Rakabganj, Agra",Agra
Al Zameer Restaurant,"North Indian, Mughlai",3.8,200.0,1.9,"Mantola, Agra",Agra
Jai Maa Bhawani Bhojanalya,North Indian,3.0,100.0,4.6,"Trans Yamuna, Agra",Agra
Bhagat Halwai,"Mithai, North Indian, Momos, Chinese, Street Food, Pizza, Fast Food",3.0,200.0,7.0,"Sikandra, Agra",Agra
Haldiram Food Court,North Indian,3.7,100.0,3.1,"Civil Lines, Agra",Agra
Nazeer Foods,"North Indian, Fast Food, Biryani",3.0,250.0,2.8,"Civil Lines, Agra",Agra
Pizza Delight Cafe And Restaurant,"Pizza, Fast Food",3.6,125.0,6.3,"Trans Yamuna, Agra",Agra
Red Chilli Cafe & Restaurant,"North Indian, Chinese, Street Food, Mughlai, South Indian, Fast Food, Beverages, Desserts",3.5,700.0,2.4,"Agra Cantt, Agra",Agra
Maple Restaurant,"North Indian, Chinese, Rolls, Fast Food",3.5,250.0,4.0,"Tajganj, Agra",Agra
Aleem Restaurant,North Indian,3.374251,175.0,2.7,"Civil Lines, Agra",Agra
The Restaurant - Trident Hotel,"North Indian, Chinese, Continental",4.2,1000.0,4.3,"Trident Hotel, Tajganj, Agra",Agra
Welcome Yadav Dhaba,North Indian,3.9,150.0,3.3,"Lohamandi, Agra",Agra
Cakery N Bakery,"Bakery, Desserts, Coffee, Sandwich, Fast Food, Burger",3.6,250.0,4.0,"Tajganj, Agra",Agra
Peppers Cafe & Kitchen,"Italian, Chinese, North Indian, Desserts, Shake",3.374251,500.0,7.1,"Sikandra, Agra",Agra
Chainess,"Street Food, Sandwich, Fast Food, Tea, Beverages",4.4,150.0,2.8,"Civil Lines, Agra",Agra
Gymlicious,"North Indian, Chinese, Fast Food, American, Beverages, Healthy Food",3.3,125.0,4.0,"Khandari, Agra",Agra
Agra Chat Cafe,Street Food,3.7,50.0,2.7,"Tajganj, Agra",Agra
Hotel Amar - Noorjahan Restaurant,"Bar Food, Chinese, Continental, South Indian, Fast Food, North Indian, Desserts, Beverages",3.9,450.0,2.5,"Hotel Amar, Tajganj, Agra",Agra
The Burger Company,"Burger, Fast Food, Momos, Pizza, Sandwich, Desserts, Beverages, Shake",3.4,250.0,3.7,"Khandari, Agra",Agra
Shree Bankey Bihari Misthan Bhandar,"Mithai, Street Food, South Indian, Chinese, Ice Cream, Desserts, Beverages",3.6,200.0,3.6,"Trans Yamuna, Agra",Agra
Shree Bankey Bihari Misthan Bhandar,"Mithai, Street Food",3.7,150.0,3.9,"Kamla Nagar, Agra",Agra
Brijbhog Misthan Bhandar & Restaurant,Mithai,3.374251,100.0,5.9,"Sikandra, Agra",Agra
Urban Dhaba Sethi Wala,"North Indian, Fast Food, Burger, Shake, Beverages",3.5,125.0,4.9,"Tajganj, Agra",Agra
Sri Dauji Mishthan Bhandar,"Mithai, North Indian",3.3,175.0,2.4,"Civil Lines, Agra",Agra
Pandit Dhaba,North Indian,3.4,150.0,4.6,"Dayal Bagh, Agra",Agra
