Restaurent name,Cuisine types,Rating,Price,Distance,Location
L 14 - Renaissance Lucknow Hotel,"North Indian, Mughlai, Continental, Asian, Healthy Food, BBQ, Desserts, Beverages",4.2,"₹3,500 for two",2.5 km,"Renaissance Lucknow Hotel, Lucknow"
Pandit Ji Ka Dhaba & Family Restaurant,North Indian,3.8,₹500 for two,7.3 km,"Aliganj, Lucknow"
Raj Fast Food,"Chinese, Fast Food",4.2,₹200 for two,9.9 km,"Transport Nagar, Lucknow"
"Gianis - Ice Cream, Shakes & Sundaes","Ice Cream, Desserts, Shake, Beverages",3.6,₹250 for two,1.2 km,"Hazratganj, Lucknow"
Yadav Dhaba,North Indian,3.4,₹300 for two,8.2 km,"Gomti Nagar, Lucknow"
Non Veg Corner & Veg Fast Food,Mughlai,3.9,₹600 for two,7.6 km,"Rajajipuram, Lucknow"
Shri Nathji Bhojanalaya,"North Indian, South Indian, Chinese",4.1,₹350 for two,4.2 km,"Charbagh, Lucknow"
Trinkster,"Fast Food, Sandwich, Burger, Shake, Beverages",4.4,₹450 for two,4.6 km,"Gomti Nagar, Lucknow"
The American Pizza,"Pizza, Fast Food, Beverages",3.5,₹350 for two,4.6 km,"Indira Nagar, Lucknow"
The Food Factory,"North Indian, Mughlai, Beverages, Ice Cream",4.2,₹600 for two,5 km,"Indira Nagar, Lucknow"
Baskin Robbins - Ice Cream Desserts,"Ice Cream, Desserts, Beverages",3.9,₹500 for two,1.5 km,"Mahanagar, Lucknow"
ICDC-Influence Car Dining Cafe,"Pizza, Pasta, Fast Food, Momos, Beverages, Desserts",3.8,₹150 for two,6 km,"Gomti Nagar, Lucknow"
The Dragon Pizza Point,"Pizza, Burger, Sandwich, Fast Food, Street Food",New,₹300 for two,7.1 km,"Gomti Nagar, Lucknow"
The Grand Orion,"North Indian, South Indian, Chinese, Desserts, Juices, Beverages",-,"₹1,000 for two",6.4 km,"Gomti Nagar, Lucknow"
Lambardar Haandi Restro,"North Indian, Mughlai",-,₹500 for two,9.4 km,"Aashiana, Lucknow"
Cafe De Leila,North Indian,4.0,₹300 for two,4.8 km,"Gomti Nagar, Lucknow"
Chai Mera Yaar,"Momos, Pizza, Burger, Sandwich, Street Food, Tea, Shake, Beverages",3.9,₹400 for two,5.3 km,"Indira Nagar, Lucknow"
Apna Adda,"North Indian, Chinese, South Indian, Fast Food, Desserts, Beverages",3.1,₹500 for two,7.8 km,"Gomti Nagar, Lucknow"
Wok N Roll,"Chinese, Rolls",4.2,₹450 for two,7 km,"Gomti Nagar, Lucknow"
Hotspot Restaurant,"North Indian, Chinese, South Indian",3.6,₹600 for two,3.2 km,"Nirala Nagar, Lucknow"
Shriji Foods,"North Indian, Street Food",3.9,₹200 for two,3.7 km,"Aminabad, Lucknow"
DFC,"Healthy Food, Salad, Sandwich, Shake, Beverages",3.9,₹350 for two,6.5 km,"Alambagh, Lucknow"
Mr Bajra,"North Indian, Chinese, Street Food, Fast Food, Beverages",3.8,₹450 for two,2 km,"Mahanagar, Lucknow"
Lucknow Bakery,Bakery,3.6,₹600 for two,3 km,"Aliganj, Lucknow"
Aafaan,"Biryani, Mughlai, Burger, Rolls, Kebab",4.0,₹350 for two,4.7 km,"Indira Nagar, Lucknow"
Burger Planet & Restaurant,"Fast Food, North Indian, Burger, Beverages",3.9,₹300 for two,5.3 km,"Aliganj, Lucknow"
Foodie Pizza - Baked With Love,"Momos, Chinese, Pizza, Pasta, Shake",3.5,₹300 for two,16.4 km,"Transport Nagar, Lucknow"
Ayushmaan Bakery & Cafe,"Bakery, Fast Food, Desserts, Cafe",3.9,₹250 for two,8.5 km,"Aashiana, Lucknow"
Pizza Cornar,"Pizza, Fast Food",3.9,₹350 for two,6.3 km,"Jankipuram, Lucknow"
The Burger Caffe,"Burger, Fast Food, Desserts, Beverages, Sandwich, Wraps, Pizza",3.9,₹300 for two,3 km,"Indira Nagar, Lucknow"
Azamgarh Mutton Do Pyaza,"North Indian, Biryani, Mughlai",3.5,₹450 for two,2.6 km,"Aliganj, Lucknow"
Al-Baik.Com,"Shawarma, Burger, Fast Food, North Indian",3.9,₹400 for two,9.5 km,"Transport Nagar, Lucknow"
Bells & Pepper,"North Indian, Chinese, Pizza, Fast Food, Street Food, Shake, Beverages, Ice Cream",3.9,₹300 for two,8.1 km,"Aashiana, Lucknow"
Yummy In The Tummy,"North Indian, Chinese, Rolls, Pizza, Fast Food",-,₹350 for two,6 km,"Jankipuram, Lucknow"
The Brother Hood,"North Indian, Biryani, Chinese, Rolls, Mughlai",-,₹800 for two,3.6 km,"Aliganj, Lucknow"
Sky Face Restaurant,"North Indian, Italian, Chinese, Fast Food, Street Food, Biryani, Shake, Beverages",-,₹600 for two,4.9 km,"Indira Nagar, Lucknow"
The Smoke House Cafe,"Chinese, Sandwich, Fast Food, Beverages",-,₹600 for two,4.9 km,"Indira Nagar, Lucknow"
The Outcider Cafe & Lounge,"North Indian, Chinese, Continental, Biryani, Italian, Burger, Fast Food, Beverages",-,₹500 for two,11.8 km,"Aliganj, Lucknow"
Big Buns,"Fast Food, Sandwich, Italian, Beverages",2.9,₹500 for two,1.8 km,"Nishatganj, Lucknow"
Knightriders Kitchen,"North Indian, Mughlai, Beverages",3.8,₹400 for two,6.3 km,"Alambagh, Lucknow"
Global Tummy,"Fast Food, Beverages, Sandwich, Shake",3.9,₹400 for two,7.3 km,"Gomti Nagar, Lucknow"
Down Town Cafe,"Chinese, Italian, Fast Food, North Indian, Continental, Beverages, Desserts",3.8,₹600 for two,6.4 km,"Gomti Nagar, Lucknow"
Fauji Dhaba- Sitapur Road,North Indian,-,₹300 for two,11.3 km,"Jankipuram, Lucknow"
